Student_ID,Semester,Age,Gender,Attendance_Percentage,Previous_CGPA,Internal_Marks,Assignment_Completion,Study_Hours_Per_Week,Backlogs,Stress_Level,Motivation_Level,Sleep_Hours,Family_Support,Internet_Access,Extracurricular,Financial_Difficulty,Mental_Wellbeing,Screen_Time_Hours,Commute_Time_Minutes,Academic_Risk
S01085,5,19,Male,94,6.86,84,81,11,0,5,3,7.5,No,Yes,No,No,5,7.0,39,0
S01086,8,24,Male,74,8.04,82,52,23,1,3,7,6.3,Yes,Yes,No,No,4,1.9,38,0
S01087,5,18,Male,72,7.05,35,100,16,0,7,5,6.1,No,Yes,No,Yes,7,8.7,14,1
S01088,6,21,Male,91,7.32,86,100,11,0,6,8,6.6,Yes,Yes,Yes,Yes,5,2.6,55,0
S01089,4,23,Female,73,7.27,61,100,15,0,1,5,5.5,Yes,Yes,No,No,6,5.5,21,0
S01090,6,21,Male,80,7.04,75,95,11,1,4,3,4.9,No,Yes,Yes,No,3,7.7,10,0
S01091,7,18,Female,69,8.49,78,78,19,0,6,6,5.9,No,Yes,No,Yes,10,8.0,14,0
S01092,4,19,Male,82,6.87,75,90,10,0,1,2,6.2,No,Yes,No,No,7,5.7,15,0
S01093,8,24,Male,61,6.6,52,49,23,2,5,10,6.8,Yes,Yes,No,No,4,5.2,35,1
S01094,4,23,Female,92,8.22,80,69,10,1,4,6,6.8,No,Yes,Yes,No,5,5.9,20,0
S01095,5,18,Female,71,8.26,55,71,16,1,6,9,7.7,Yes,Yes,No,No,5,7.3,6,0
S01096,4,17,Female,86,5.64,89,83,10,0,3,3,7.6,Yes,Yes,No,No,5,6.2,22,0
S01097,5,24,Female,86,6.45,64,77,14,4,3,6,7.1,Yes,Yes,Yes,Yes,5,4.8,57,0
S01098,3,18,Male,70,6.88,53,68,21,2,1,4,4.7,Yes,Yes,Yes,No,5,4.0,24,0
S01099,8,19,Female,91,7.33,59,46,17,0,5,6,6.1,Yes,Yes,Yes,Yes,10,6.8,68,0
S01100,2,24,Male,90,7.69,85,52,1,1,5,4,5.0,Yes,Yes,Yes,No,10,4.3,64,0
S01101,6,18,Male,100,8.1,83,79,7,0,2,6,8.0,Yes,Yes,No,No,3,3.4,44,0
S01102,7,19,Male,82,7.58,73,91,9,4,6,5,6.6,Yes,Yes,No,Yes,5,4.9,22,0
S01103,3,24,Female,91,7.84,79,54,13,2,1,7,6.5,Yes,Yes,No,No,4,5.7,20,0
S01104,1,18,Male,95,7.67,79,90,24,1,5,8,5.2,Yes,Yes,Yes,Yes,2,5.5,52,0
S01105,5,22,Male,80,7.7,91,100,11,2,6,7,6.0,Yes,Yes,Yes,Yes,8,9.4,10,0
S01106,8,24,Male,52,6.23,50,67,28,6,2,8,5.2,No,Yes,No,No,6,5.4,66,1
S01107,4,24,Male,56,5.5,96,63,17,0,3,4,6.5,Yes,No,No,Yes,6,9.2,11,1
S01108,7,22,Female,86,8.25,78,64,18,1,5,1,6.0,Yes,Yes,Yes,No,2,7.4,24,0
S01109,3,24,Male,78,7.0,60,76,17,0,3,5,6.3,Yes,Yes,No,No,9,3.2,27,0
S01110,8,17,Male,92,6.36,75,82,22,1,5,3,6.4,Yes,Yes,No,No,5,5.3,34,0
S01111,4,20,Female,66,8.85,62,76,9,0,7,7,7.5,Yes,Yes,No,No,1,9.0,46,0
S01112,6,24,Female,71,6.9,51,58,18,1,5,5,6.4,Yes,Yes,Yes,No,6,9.2,40,0
S01113,3,23,Female,100,8.94,92,83,20,1,4,8,6.8,Yes,Yes,No,Yes,7,3.9,0,0
S01114,8,21,Male,89,5.68,52,77,22,1,5,8,5.7,Yes,Yes,Yes,No,4,3.3,29,0
S01115,7,17,Female,85,7.17,75,100,16,2,2,8,5.1,No,No,Yes,Yes,7,2.2,37,0
S01116,1,23,Female,72,7.42,91,66,15,0,6,7,4.5,Yes,Yes,No,No,7,8.3,31,0
S01117,4,23,Female,80,6.78,73,100,22,0,6,7,6.1,No,Yes,Yes,No,2,5.4,9,0
S01118,8,20,Female,62,7.27,69,48,26,2,6,7,5.2,Yes,Yes,Yes,Yes,6,6.1,43,1
S01119,3,17,Female,79,6.11,56,100,4,0,5,1,5.2,No,Yes,No,Yes,4,3.0,49,1
S01120,1,17,Male,71,5.9,89,100,16,0,3,2,5.6,No,Yes,No,No,3,4.3,60,1
S01121,8,17,Female,80,8.61,38,63,16,0,3,4,5.8,Yes,Yes,Yes,Yes,6,3.0,23,0
S01122,8,18,Female,87,7.31,48,81,21,3,6,4,6.3,Yes,Yes,Yes,Yes,4,5.7,44,1
S01123,7,21,Male,90,7.48,80,55,19,0,4,3,5.2,Yes,Yes,No,No,4,5.9,42,0
S01124,6,19,Female,69,5.89,49,77,12,1,7,7,6.2,Yes,Yes,Yes,No,6,5.7,69,0
S01125,1,19,Male,65,8.1,61,87,18,4,4,6,7.6,Yes,Yes,No,Yes,7,9.5,24,0
S01126,2,17,Female,100,7.5,86,67,23,1,3,4,6.9,Yes,Yes,No,No,4,1.4,37,0
S01127,6,23,Female,100,8.61,72,100,13,0,4,5,6.2,Yes,Yes,Yes,Yes,7,3.9,79,0
S01128,1,23,Male,79,4.42,46,65,21,2,8,5,7.4,Yes,Yes,Yes,Yes,3,5.4,22,1
S01129,2,21,Female,80,6.79,39,78,16,1,7,5,7.1,No,Yes,Yes,No,2,7.0,35,0
S01130,1,23,Male,88,7.14,71,87,21,0,3,5,6.3,Yes,Yes,No,No,5,7.5,34,0
S01131,5,20,Female,78,7.71,58,79,12,0,4,6,6.6,Yes,Yes,Yes,No,7,7.7,4,0
S01132,1,23,Female,92,9.26,54,81,6,0,3,6,6.7,No,Yes,Yes,Yes,6,4.3,22,0
S01133,3,20,Female,71,7.4,60,55,18,1,4,3,6.5,Yes,Yes,Yes,No,5,6.3,12,0
S01134,7,22,Male,70,6.61,83,70,12,2,1,5,8.5,Yes,Yes,Yes,No,5,7.5,49,0
S01135,3,19,Female,83,7.18,89,93,28,1,8,4,5.5,Yes,Yes,No,No,10,5.8,55,0
S01136,6,20,Male,78,6.58,73,79,15,3,5,6,5.9,Yes,No,No,No,9,3.1,21,0
S01137,1,24,Female,70,8.19,73,56,10,0,4,5,8.2,Yes,Yes,Yes,No,3,4.3,34,0
S01138,6,21,Male,60,6.73,91,84,12,0,6,5,7.4,Yes,No,Yes,No,5,6.3,12,0
S01139,7,24,Female,86,7.47,93,100,14,2,4,4,7.7,Yes,Yes,Yes,No,3,5.7,39,0
S01140,6,19,Female,87,7.17,83,82,1,0,4,5,6.3,Yes,Yes,No,No,5,2.5,27,0
S01141,6,24,Female,73,4.57,72,83,17,2,2,3,7.8,Yes,Yes,No,No,4,4.8,58,1
S01142,4,24,Female,87,5.17,79,87,3,2,2,6,6.6,Yes,Yes,No,Yes,5,5.8,44,1
S01143,8,22,Female,81,8.74,73,69,19,0,4,6,6.0,Yes,Yes,Yes,Yes,6,5.1,32,0
S01144,6,22,Male,95,8.09,57,59,10,2,2,4,6.3,Yes,Yes,No,No,5,4.2,44,0
S01145,8,22,Male,93,6.03,70,70,10,1,6,6,8.0,Yes,Yes,Yes,No,8,8.0,35,0
S01146,2,24,Male,74,7.31,69,96,6,1,7,2,6.5,Yes,Yes,No,No,4,3.6,44,0
S01147,3,17,Female,74,9.31,59,42,15,0,1,6,7.6,Yes,No,Yes,No,7,5.5,32,0
S01148,3,23,Male,63,5.93,86,35,8,3,1,8,6.7,Yes,Yes,No,No,6,7.9,18,1
S01149,5,24,Male,60,7.55,80,100,10,1,2,7,8.2,Yes,Yes,Yes,No,4,5.7,39,0
S01150,5,21,Female,88,6.66,96,65,20,1,5,8,6.4,No,Yes,No,No,6,5.8,43,0
S01151,4,17,Male,70,7.26,92,65,26,1,3,8,5.9,Yes,Yes,No,Yes,4,5.7,31,0
S01152,3,23,Female,59,5.79,59,46,16,1,6,3,6.6,Yes,Yes,No,No,6,4.6,39,1
S01153,8,17,Male,58,6.97,65,79,4,1,4,3,7.6,Yes,Yes,No,No,5,7.4,24,1
S01154,1,23,Female,63,6.41,54,84,14,3,6,6,7.2,Yes,Yes,No,Yes,9,2.0,38,1
S01155,5,17,Female,77,5.87,82,35,15,1,3,3,5.9,Yes,Yes,No,No,8,5.5,18,1
S01156,8,20,Male,63,6.53,71,62,17,2,4,5,7.6,Yes,Yes,No,Yes,8,5.6,23,1
S01157,7,23,Female,100,6.19,84,73,10,2,4,6,7.3,Yes,Yes,Yes,No,8,9.3,57,0
S01158,8,20,Male,81,8.17,58,100,18,1,7,6,5.6,Yes,Yes,No,No,7,1.3,10,0
S01159,3,23,Male,83,7.85,86,86,22,1,6,6,7.9,Yes,Yes,No,No,3,7.6,16,0
S01160,5,18,Female,82,7.44,61,64,14,0,5,8,4.9,Yes,Yes,Yes,No,6,2.6,22,0
S01161,8,23,Female,74,8.68,79,79,8,2,5,8,7.8,Yes,Yes,No,No,5,7.2,0,0
S01162,7,17,Male,84,7.13,52,100,21,1,6,7,6.9,Yes,Yes,Yes,No,7,7.4,48,0
S01163,1,19,Male,67,6.18,79,90,13,0,2,7,4.4,No,Yes,No,No,2,4.8,63,0
S01164,3,22,Male,89,5.88,55,57,34,0,4,6,7.3,Yes,Yes,No,No,7,3.8,24,0
S01165,3,21,Female,83,7.86,83,100,12,1,5,3,7.6,Yes,Yes,Yes,No,4,6.4,9,0
S01166,5,17,Female,81,6.74,75,50,13,5,8,5,6.4,No,Yes,Yes,No,4,6.8,26,1
S01167,6,21,Female,65,7.57,66,95,1,2,7,7,6.9,Yes,Yes,No,No,5,2.7,7,0
S01168,6,24,Female,93,6.87,86,57,12,0,3,7,6.5,No,Yes,Yes,No,6,9.2,39,0
S01169,8,21,Female,90,6.03,80,79,9,1,4,2,7.0,Yes,Yes,No,Yes,9,7.3,54,0
S01170,7,20,Female,85,7.11,75,84,14,1,6,6,8.3,Yes,Yes,Yes,No,4,5.4,36,0
S01171,2,24,Female,75,5.46,56,100,3,2,1,9,7.2,Yes,Yes,Yes,No,7,4.2,49,0
S01172,8,17,Male,99,7.9,72,87,17,0,1,8,7.3,Yes,Yes,No,No,1,6.3,43,0
S01173,1,22,Male,76,5.91,75,55,25,3,7,8,7.3,Yes,Yes,No,Yes,4,5.2,11,1
S01174,2,18,Male,78,6.29,62,67,18,2,7,3,8.0,No,Yes,No,Yes,1,5.9,22,1
S01175,7,19,Male,67,7.79,71,78,24,0,5,6,5.2,Yes,Yes,No,No,4,4.5,69,0
S01176,6,21,Female,66,5.99,69,69,29,1,4,4,6.6,Yes,Yes,No,No,4,4.8,21,0
S01177,2,24,Female,80,8.23,58,73,23,1,4,6,8.2,Yes,Yes,No,No,7,6.8,28,0
S01178,2,23,Female,81,6.61,90,52,15,1,6,7,6.5,Yes,Yes,No,Yes,5,5.4,5,0
S01179,1,17,Male,80,6.47,77,49,17,0,1,7,8.2,Yes,Yes,Yes,No,4,3.0,26,0
S01180,4,21,Female,71,6.47,55,85,14,0,6,4,5.9,Yes,Yes,Yes,Yes,5,4.3,42,0
S01181,3,21,Male,71,6.57,45,78,4,5,5,8,5.3,Yes,Yes,Yes,No,5,2.6,32,1
S01182,3,22,Female,68,7.81,82,71,14,1,3,3,7.5,Yes,Yes,No,No,8,6.2,37,0
S01183,8,22,Male,83,8.15,64,79,11,3,4,5,6.3,Yes,Yes,Yes,No,6,2.5,8,0
S01184,6,18,Male,76,7.82,52,88,9,1,8,6,7.9,No,Yes,Yes,No,2,5.3,52,0
S01185,7,21,Female,72,8.14,81,75,14,3,1,7,7.2,Yes,Yes,Yes,No,5,2.1,54,0
S01186,8,17,Female,50,6.18,83,74,7,1,4,8,4.9,Yes,Yes,Yes,No,5,7.2,48,0
S01187,5,18,Female,100,6.83,68,77,19,0,5,5,7.4,Yes,Yes,No,Yes,2,8.2,40,0
S01188,6,23,Male,37,6.77,65,73,13,1,8,4,6.8,No,Yes,No,Yes,9,3.5,38,1
S01189,1,19,Male,89,5.86,65,41,17,0,4,4,6.7,Yes,Yes,Yes,No,10,5.9,54,0
S01190,1,23,Male,75,4.45,79,95,23,0,6,5,7.0,Yes,Yes,Yes,No,7,2.9,17,0
S01191,3,24,Male,93,7.79,39,98,9,0,9,4,7.3,Yes,Yes,Yes,No,5,8.5,70,0
S01192,5,18,Male,68,7.16,59,89,8,0,7,7,7.2,Yes,Yes,No,No,5,4.8,72,0
S01193,4,20,Male,91,6.66,84,99,14,1,3,5,6.2,Yes,Yes,Yes,No,6,4.9,20,0
S01194,8,23,Female,86,5.91,65,79,10,1,5,2,6.9,No,Yes,Yes,Yes,4,5.0,15,1
S01195,2,17,Male,86,6.71,94,54,19,1,7,9,6.5,No,Yes,Yes,No,3,7.8,18,0
S01196,2,22,Male,73,7.5,49,82,12,2,10,6,6.9,Yes,Yes,Yes,No,8,8.5,42,1
S01197,2,24,Male,62,7.89,100,86,8,0,1,6,5.6,Yes,Yes,No,No,6,7.8,44,0
S01198,7,17,Female,80,6.1,79,73,18,3,3,2,9.0,Yes,Yes,Yes,No,2,5.1,43,0
S01199,3,19,Male,65,5.78,62,95,20,2,8,6,7.5,Yes,Yes,No,No,6,4.7,36,1
S01200,4,17,Male,89,8.87,85,70,25,2,1,5,5.8,No,Yes,No,No,7,5.2,37,0
S01201,8,22,Female,80,8.94,63,82,11,1,4,3,5.3,No,Yes,No,Yes,9,7.2,44,0
S01202,6,21,Female,87,5.91,71,95,16,4,6,6,6.4,Yes,Yes,No,No,4,6.0,32,0
S01203,6,17,Male,87,8.69,100,72,19,0,4,5,6.4,Yes,Yes,Yes,No,6,4.8,46,0
S01204,3,22,Male,88,8.25,67,99,1,0,4,7,5.6,Yes,Yes,Yes,No,6,4.5,46,0
S01205,8,20,Female,61,8.36,47,60,16,1,3,4,7.3,Yes,Yes,No,No,7,4.1,20,0
S01206,6,20,Female,87,5.83,73,75,16,1,1,5,7.2,Yes,Yes,Yes,Yes,5,3.9,31,0
S01207,4,17,Female,85,6.36,60,75,6,0,6,9,6.8,Yes,Yes,No,No,7,3.5,0,0
S01208,1,22,Male,78,6.62,96,90,17,0,4,2,5.5,No,Yes,No,No,6,5.4,35,0
S01209,1,24,Male,99,7.26,88,66,14,0,3,2,5.4,Yes,Yes,Yes,Yes,5,6.3,60,0
S01210,7,17,Male,73,5.81,54,74,12,0,5,3,7.3,Yes,Yes,No,No,9,5.8,62,0
S01211,8,20,Male,66,8.19,70,52,3,0,8,4,5.4,Yes,No,Yes,Yes,7,3.6,32,1
S01212,5,24,Male,84,7.21,58,35,14,4,4,5,8.4,Yes,Yes,Yes,No,6,4.2,58,0
S01213,7,18,Female,85,6.89,58,78,26,0,3,4,7.1,No,Yes,No,No,7,3.1,26,0
S01214,6,17,Female,86,6.83,93,61,9,2,5,6,7.7,Yes,Yes,Yes,No,7,7.6,39,0
S01215,7,17,Male,58,7.59,66,75,21,1,5,7,7.0,Yes,Yes,No,No,6,4.8,48,0
S01216,3,24,Female,69,6.66,61,66,17,1,3,7,6.9,Yes,No,No,No,4,3.0,59,0
S01217,1,20,Female,77,7.91,63,61,10,1,3,4,6.1,No,Yes,Yes,No,6,8.9,67,0
S01218,8,24,Male,91,4.54,46,84,11,1,5,5,6.9,Yes,Yes,Yes,No,4,4.7,0,0
S01219,1,18,Male,73,8.65,56,43,1,0,6,5,5.4,Yes,Yes,Yes,No,7,6.6,62,1
S01220,3,17,Female,88,8.59,66,100,11,1,4,7,5.2,Yes,Yes,Yes,Yes,5,5.7,43,0
S01221,5,21,Male,86,6.41,70,75,19,1,3,7,7.0,Yes,Yes,No,No,5,5.5,47,0
S01222,2,20,Male,79,7.86,66,58,11,0,2,4,5.2,Yes,Yes,Yes,Yes,4,5.1,33,0
S01223,1,24,Male,88,6.08,76,68,23,1,5,4,5.5,Yes,No,No,No,9,4.9,67,0
S01224,8,19,Male,84,7.12,54,99,12,1,4,7,6.1,Yes,Yes,Yes,No,7,5.0,36,0
S01225,2,18,Female,64,6.47,66,74,7,1,5,5,6.5,Yes,Yes,No,No,3,4.9,80,1
S01226,3,22,Male,68,8.16,82,53,14,1,3,4,5.5,Yes,Yes,Yes,No,6,10.1,60,0
S01227,2,23,Female,89,6.62,75,100,19,1,6,7,5.6,Yes,Yes,Yes,No,6,4.8,38,0
S01228,3,24,Female,87,7.47,75,69,11,0,4,5,7.2,Yes,Yes,Yes,No,8,3.1,35,0
S01229,7,21,Male,100,7.78,88,100,28,2,8,6,7.9,Yes,Yes,No,No,3,5.8,32,0
S01230,5,17,Male,79,7.4,67,51,19,3,4,6,6.4,Yes,Yes,No,No,4,4.1,40,0
S01231,4,23,Female,79,7.9,100,87,6,0,4,5,6.0,Yes,Yes,Yes,No,6,7.2,34,0
S01232,2,18,Male,94,7.3,83,63,14,1,3,5,7.1,No,Yes,Yes,No,5,4.1,53,0
S01233,5,21,Male,92,8.64,54,36,11,0,5,8,6.2,Yes,Yes,No,Yes,7,4.0,26,0
S01234,1,23,Male,85,7.02,48,85,12,0,3,7,6.8,Yes,No,Yes,No,2,2.7,20,0
S01235,6,24,Male,89,7.95,67,39,20,1,8,6,6.1,Yes,Yes,Yes,No,6,5.8,14,0
S01236,7,20,Male,78,6.75,73,67,15,0,8,5,6.4,Yes,Yes,No,Yes,9,9.6,33,0
S01237,7,22,Female,70,6.43,72,54,12,0,3,6,5.9,No,Yes,No,No,3,4.4,26,0
S01238,3,19,Male,87,7.59,59,69,14,0,6,6,8.9,Yes,Yes,No,No,6,5.7,70,0
S01239,4,19,Female,90,6.66,98,91,15,2,4,6,6.5,Yes,Yes,Yes,No,5,4.3,16,0
S01240,5,20,Female,75,6.53,78,75,12,0,7,6,5.7,Yes,Yes,No,Yes,9,2.0,57,0
S01241,7,17,Female,80,6.71,82,85,11,1,6,4,7.6,Yes,Yes,Yes,No,6,8.2,32,0
S01242,3,17,Male,90,6.23,70,73,13,0,6,4,6.9,Yes,Yes,No,No,10,5.8,39,0
S01243,3,22,Female,70,4.54,56,79,18,0,2,7,5.7,Yes,Yes,Yes,No,2,6.6,16,0
S01244,1,17,Male,90,4.98,85,96,7,1,7,7,8.8,No,Yes,No,Yes,7,2.5,32,1
S01245,1,19,Male,59,7.47,47,98,13,3,1,7,7.1,No,Yes,Yes,No,6,5.0,11,1
S01246,1,19,Female,100,6.31,72,62,12,2,4,4,7.0,No,Yes,No,No,5,5.9,23,0
S01247,1,18,Male,81,8.96,76,40,12,2,6,2,6.4,Yes,Yes,No,No,7,1.4,16,0
S01248,6,22,Male,58,5.84,100,90,5,1,4,6,6.1,Yes,Yes,No,No,5,4.2,38,1
S01249,2,18,Female,100,7.59,39,71,21,1,5,6,6.9,Yes,Yes,Yes,No,5,4.8,26,0
S01250,5,24,Female,88,6.55,83,100,15,2,5,7,5.6,Yes,Yes,No,Yes,5,8.1,87,0
S01251,3,19,Female,70,8.92,94,52,7,1,3,6,6.6,Yes,Yes,Yes,Yes,1,1.7,67,0
S01252,7,23,Female,93,7.69,64,57,19,2,9,5,6.9,Yes,Yes,Yes,Yes,5,2.9,33,1
S01253,3,17,Male,75,7.97,86,67,26,1,5,7,6.1,No,Yes,Yes,Yes,4,6.1,41,0
S01254,2,22,Male,92,7.45,87,49,26,2,2,4,6.8,Yes,Yes,Yes,No,3,4.0,20,0
S01255,7,24,Male,80,6.81,73,86,15,1,4,5,7.0,Yes,Yes,No,Yes,4,5.1,40,0
S01256,8,18,Female,81,8.28,86,59,18,0,8,2,6.3,No,Yes,Yes,No,9,7.6,29,0
S01257,1,17,Male,100,8.01,73,82,18,0,5,6,7.6,Yes,Yes,No,No,2,3.1,14,0
S01258,7,19,Female,83,6.49,87,75,14,1,4,4,5.1,Yes,Yes,Yes,No,4,7.3,35,0
S01259,8,20,Female,79,6.24,73,95,14,1,4,7,7.5,No,Yes,No,No,3,7.8,61,0
S01260,1,19,Male,75,6.5,80,73,22,0,4,2,6.5,Yes,Yes,Yes,No,5,7.5,58,0
S01261,8,19,Male,85,6.72,74,77,9,3,2,4,5.3,Yes,Yes,No,No,4,4.3,41,0
S01262,2,17,Male,91,9.18,86,74,28,1,9,8,6.2,No,Yes,Yes,No,4,7.0,27,0
S01263,5,22,Male,82,5.92,75,64,13,3,5,5,5.3,Yes,Yes,Yes,No,6,6.1,28,0
S01264,3,23,Male,46,7.16,68,76,15,0,3,4,6.3,Yes,Yes,No,No,5,6.4,56,0
S01265,4,21,Male,91,6.28,44,100,25,2,1,6,5.7,Yes,Yes,Yes,No,1,6.1,42,0
S01266,1,20,Male,70,5.64,66,76,5,1,6,7,7.6,Yes,Yes,No,No,6,3.6,6,0
S01267,7,23,Female,61,7.3,77,91,3,1,5,5,7.4,Yes,Yes,No,No,6,6.5,39,0
S01268,5,20,Male,88,5.09,70,73,15,1,3,2,6.7,Yes,Yes,No,No,5,4.9,46,0
S01269,1,22,Male,67,8.5,95,92,3,0,2,9,6.9,Yes,Yes,Yes,Yes,8,6.5,61,0
S01270,5,21,Male,58,7.86,80,75,23,0,3,4,8.0,Yes,Yes,No,Yes,6,3.4,36,0
S01271,2,20,Male,71,7.41,36,72,13,1,3,9,6.5,Yes,Yes,Yes,Yes,5,3.1,30,0
S01272,2,17,Female,96,5.97,83,54,19,3,4,7,8.4,No,Yes,No,No,9,3.4,59,1
S01273,5,23,Female,47,7.14,71,93,13,3,5,5,6.0,Yes,Yes,Yes,No,4,4.4,42,0
S01274,7,21,Male,80,7.79,73,94,16,3,4,5,7.2,No,Yes,No,No,8,4.1,43,0
S01275,8,22,Male,58,6.15,69,61,12,1,3,4,7.2,Yes,Yes,Yes,Yes,4,5.4,33,0
S01276,1,24,Male,81,7.82,82,62,25,1,6,7,7.3,Yes,Yes,No,No,6,5.3,36,0
S01277,3,17,Female,69,5.45,76,35,26,0,3,4,7.4,No,Yes,Yes,No,2,6.7,3,1
S01278,7,22,Male,81,5.76,70,78,22,2,3,6,5.1,Yes,Yes,No,Yes,4,6.6,47,1
S01279,1,20,Female,85,6.93,78,85,5,0,3,7,7.8,Yes,No,Yes,No,7,2.5,53,0
S01280,1,23,Female,93,8.2,66,52,16,2,7,4,5.0,Yes,Yes,No,Yes,4,7.5,0,1
S01281,7,20,Male,61,8.22,37,70,16,0,7,8,8.0,Yes,No,No,No,7,6.3,26,0
S01282,4,19,Male,84,9.24,79,78,12,1,6,8,5.7,Yes,Yes,No,Yes,4,7.8,25,0
S01283,7,23,Female,58,6.54,74,50,17,0,6,10,6.8,Yes,Yes,No,Yes,6,4.6,51,1
S01284,1,17,Female,78,7.59,51,87,13,1,4,5,8.3,Yes,Yes,Yes,No,1,6.6,29,0
S01285,8,20,Male,60,7.83,85,60,12,0,3,5,8.2,Yes,No,No,Yes,4,7.8,11,0
S01286,5,21,Female,93,8.04,42,100,2,1,5,6,5.8,Yes,Yes,No,No,5,6.0,67,0
S01287,2,21,Male,80,7.0,67,100,11,3,5,6,5.9,Yes,Yes,Yes,No,9,6.3,26,0
S01288,8,24,Female,96,6.33,60,67,17,0,7,5,6.6,Yes,Yes,No,No,7,8.4,49,0
S01289,5,24,Male,74,7.35,70,79,23,0,7,3,6.0,Yes,Yes,Yes,Yes,6,5.3,22,0
S01290,7,20,Female,68,4.67,60,46,15,0,1,6,5.4,Yes,Yes,No,No,9,8.5,17,1
S01291,4,17,Female,60,6.19,91,61,8,2,5,5,7.0,Yes,Yes,Yes,Yes,8,2.4,62,1
S01292,2,22,Female,70,9.22,87,94,8,1,7,7,7.7,Yes,Yes,Yes,Yes,4,6.6,60,0
S01293,8,20,Female,72,8.9,30,68,17,2,5,5,6.4,Yes,Yes,Yes,Yes,8,2.6,39,0
S01294,2,21,Female,64,6.77,77,100,5,1,2,7,6.3,Yes,Yes,No,No,7,7.5,25,0
S01295,4,22,Male,66,6.11,78,46,13,2,4,7,8.0,No,Yes,No,No,3,2.1,84,1
S01296,7,22,Female,77,5.51,83,76,10,1,3,5,7.1,Yes,Yes,No,No,6,5.2,11,0
S01297,5,18,Female,89,6.79,61,58,11,1,3,5,4.9,Yes,Yes,No,No,4,3.8,56,0
S01298,7,18,Male,73,5.97,54,83,9,0,8,4,8.7,Yes,Yes,No,Yes,6,6.7,28,1
S01299,4,17,Male,83,7.29,95,61,9,2,5,4,6.1,Yes,Yes,No,No,5,5.6,35,0
S01300,8,20,Male,66,7.24,52,95,14,0,4,3,7.6,Yes,Yes,Yes,No,4,3.2,21,0
S01301,8,17,Male,58,7.07,78,59,10,0,7,6,6.5,Yes,Yes,Yes,No,5,3.4,51,0
S01302,2,17,Female,45,7.04,54,100,20,1,2,6,7.6,Yes,Yes,Yes,Yes,4,7.1,30,0
S01303,7,18,Male,61,6.97,63,54,7,0,1,5,6.7,Yes,Yes,No,No,5,4.6,39,1
S01304,7,17,Male,76,6.56,46,64,15,1,6,6,6.1,Yes,Yes,Yes,Yes,7,6.8,61,0
S01305,7,18,Male,95,6.96,74,100,15,0,1,6,9.2,Yes,Yes,No,No,6,4.0,55,0
S01306,4,17,Female,91,8.45,61,94,29,1,6,6,6.0,Yes,Yes,No,No,2,6.8,34,0
S01307,8,18,Female,88,5.65,65,69,15,1,1,8,6.5,Yes,Yes,No,No,4,10.4,21,0
S01308,5,17,Female,52,9.38,45,72,23,0,5,5,6.0,Yes,Yes,Yes,No,3,1.0,0,0
S01309,8,23,Female,86,8.27,92,80,16,0,4,5,6.8,Yes,No,No,Yes,6,6.7,18,0
S01310,7,18,Female,62,6.21,82,35,20,3,5,7,8.3,No,Yes,Yes,Yes,4,5.4,90,1
S01311,4,21,Female,42,6.55,81,74,11,1,3,7,5.9,Yes,Yes,No,No,5,9.1,16,0
S01312,2,23,Male,82,5.61,52,82,25,0,3,2,8.3,Yes,Yes,No,No,3,6.3,27,0
S01313,2,22,Male,70,7.38,83,62,21,2,5,7,6.0,No,Yes,Yes,No,4,1.0,35,0
S01314,1,18,Female,72,6.42,80,94,3,0,5,8,7.8,Yes,Yes,Yes,No,5,4.2,47,0
S01315,3,21,Female,73,5.53,70,45,25,1,5,4,6.0,Yes,Yes,No,No,5,5.1,28,0
S01316,7,19,Female,70,6.34,74,77,19,0,7,5,7.2,Yes,Yes,Yes,Yes,4,5.1,57,0
S01317,7,23,Male,80,7.51,75,99,24,2,3,5,6.1,Yes,Yes,Yes,No,6,4.0,7,0
S01318,5,17,Female,75,5.96,82,90,8,2,5,8,7.0,Yes,Yes,No,No,4,1.9,39,0
S01319,5,20,Male,67,8.69,64,98,5,0,2,10,7.5,Yes,Yes,No,Yes,4,4.8,42,0
S01320,4,19,Male,58,8.01,100,82,26,0,5,7,7.7,No,Yes,No,No,8,5.0,10,0
S01321,2,21,Male,100,5.56,99,79,10,0,9,5,7.9,Yes,Yes,No,Yes,9,7.5,26,0
S01322,2,24,Male,61,8.21,92,59,10,2,7,2,6.6,Yes,Yes,No,Yes,5,4.2,6,1
S01323,5,17,Male,75,8.06,62,73,5,1,5,9,6.3,Yes,Yes,No,Yes,9,3.2,74,0
S01324,2,22,Male,75,5.3,83,55,18,0,5,5,6.0,Yes,Yes,Yes,Yes,8,7.2,14,0
S01325,8,20,Male,100,6.97,69,61,9,2,5,3,5.6,Yes,Yes,Yes,No,9,7.1,48,0
S01326,5,22,Male,93,8.31,70,62,28,1,4,4,7.9,Yes,Yes,No,No,5,5.7,58,0
S01327,1,17,Female,86,7.74,97,86,22,1,6,4,8.2,Yes,Yes,No,No,4,4.4,9,0
S01328,1,21,Male,62,6.44,30,54,22,3,4,4,6.7,No,Yes,Yes,No,9,6.9,60,1
S01329,7,22,Female,77,8.95,61,73,22,2,4,6,7.5,Yes,Yes,Yes,No,6,6.3,34,0
S01330,1,21,Male,92,4.72,40,88,17,0,6,5,8.1,No,Yes,Yes,No,5,5.7,8,1
